CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
981432964,105,QUEENS,05/24/2018,12:00:00,,,COMPLETED,,,0.0,N.Y. POLICE DEPT,113,FELONY,INSIDE,FORGERY,,PATROL BORO QUEENS SOUTH,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",MAILBOX OUTSIDE,02/12/2020,,UNKNOWN,UNKNOWN,U,,45-64,WHITE,F,1056840,205482,40.730387667000045,-73.73808927199997,"(40.73038766700005, -73.73808927199997)"
358551291,84,BROOKLYN,11/01/2018,08:00:00,11/30/2019,16:00:00,COMPLETED,,,0.0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BKLYN NORTH,420.0,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",RESIDENCE - APT. HOUSE,03/18/2020,,,,,,25-44,WHITE,F,984377,191776,40.69306580400007,-73.99954347299997,"(40.69306580400007, -73.99954347299997)"
151755406,88,BROOKLYN,12/28/2018,17:00:00,03/31/2020,17:12:00,COMPLETED,,,0.0,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO BKLYN NORTH,101.0,ASSAULT 3,RESIDENCE - APT. HOUSE,03/31/2020,,25-44,BLACK,M,,25-44,WHITE,F,992826,192283,40.69445324900005,-73.96907507999998,"(40.69445324900005, -73.96907507999998)"
625737137,41,BRONX,10/01/2018,07:00:00,11/08/2019,15:00:00,COMPLETED,,,0.0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BRONX,175.0,"SEXUAL ABUSE 3,2",PUBLIC SCHOOL,03/18/2020,,,,,,18-24,BLACK,F,1013232,236725,40.816391847000034,-73.89529641399997,"(40.816391847000034, -73.89529641399997)"
899799765,23,MANHATTAN,04/01/2018,00:00:00,04/01/2018,00:00:00,COMPLETED,,672.0,2.0,N.Y. HOUSING POLICE,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO MAN NORTH,739.0,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - PUBLIC HOUSING,03/25/2020,,UNKNOWN,UNKNOWN,U,,25-44,BLACK,F,999243,227082,40.78995927500005,-73.94585684099997,"(40.78995927500005, -73.94585684099997)"
756125897,77,BROOKLYN,08/01/2018,12:00:00,,,COMPLETED,,,0.0,N.Y. POLICE DEPT,113,FELONY,INSIDE,FORGERY,,PATROL BORO BKLYN NORTH,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMMERCIAL BUILDING,03/24/2020,,UNKNOWN,UNKNOWN,M,,25-44,BLACK,F,1003437,184082,40.67192673300008,-73.93083355499994,"(40.67192673300008, -73.93083355499994)"
764855040,19,MANHATTAN,06/08/2018,00:01:00,12/18/2019,23:35:00,COMPLETED,,,0.0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO MAN NORTH,305.0,"LARCENY,PETIT BY CREDIT CARD U",RESIDENCE - APT. HOUSE,03/18/2020,,,,,,45-64,BLACK,F,998200,224473,40.782799975000046,-73.94962887099996,"(40.782799975000046, -73.94962887099996)"
653762905,40,BRONX,10/01/2018,07:00:00,11/08/2019,15:00:00,COMPLETED,,,0.0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BRONX,175.0,"SEXUAL ABUSE 3,2",PUBLIC SCHOOL,03/18/2020,,,,,,18-24,BLACK,F,1004926,234532,40.81039601900005,-73.92531074499993,"(40.81039601900005, -73.92531074499993)"
245491004,68,BROOKLYN,03/24/2018,12:00:00,03/24/2018,12:15:00,COMPLETED,,,0.0,N.Y. POLICE DEPT,106,FELONY,,FELONY ASSAULT,,PATROL BORO BKLYN SOUTH,109.0,"ASSAULT 2,1,UNCLASSIFIED",PARK/PLAYGROUND,03/25/2020,,UNKNOWN,WHITE,M,,65+,WHITE,M,978016,172087,40.63902167200007,-74.022463524,"(40.63902167200007, -74.022463524)"
884741586,10,MANHATTAN,12/05/2018,08:00:00,03/30/2020,13:45:00,COMPLETED,,,0.0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO MAN SOUTH,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",CONSTRUCTION SITE,03/30/2020,,,,,,UNKNOWN,UNKNOWN,D,984686,209908,40.74283378800004,-73.99842802399995,"(40.74283378800004, -73.99842802399996)"
